query_id,query_text,relevant_doc_ids
q1,빅쿼리 전송 구성하는 법?,10fd8ede-f032-4f97-9318-bd605f13d65e=3;7afaf444-187e-4c43-826f-29d1d3112408=2;4ad50acc-6b50-46fc-9bb2-de6269c45d1b=1
q2,클라우드 저장소에서 데이터 전송 어떻게 해?,bbcf536f-0fda-4626-9b9f-fc6e9d2ddda4=2;1c7801ac-790e-4b4a-a705-abba9afda4cc=1;868401f0-00d1-4dcc-a660-613c6f963949=1
q3,bq mk 명령어 사용법 뭐야?,16027f9c-cd3a-40d4-af73-bd2d978aea62=3;145a40c8-1014-4bba-8a4b-5e1f172651f4=2;f03ab504-aafe-4123-aa67-90bdf145baa7=1
q4,마이그레이션 에이전트 실행하려면 뭐 필요해?,476fe45c-ab37-4922-90dd-9b692ca27a1e=3;8e724965-f081-4186-b9ba-2fc6b38265ba=2;e5229274-5e73-487a-9f4c-fb59edb61abd=2
q5,빅쿼리 쿼리 실행하는 법?,f59867d8-945b-45a0-a059-ed8c8c451e88=3;ca352791-553a-41cc-8460-7dc8910c7afe=2;689c1fed-0c05-4e27-858f-203a11febaab=1
q6,how to run queries on bigquery?,695147d8-2025-4bff-8a46-cdada8c3b8b0=3;
q7,play_circle 버튼 뭐야?,3ee4d58b-bbed-4844-8582-ddb612dc8071=2;617f1e4d-017f-41a9-8419-907bdc6341ce=1;45f98840-3d4b-4850-a07f-f2a41a4bc86d=1
q8,멀티모달 데이터 분석 방법?,b8c0efcd-b284-4128-b244-3356a874999b=3;e68bbcba-d8e8-4e7c-b296-5a16f0e664a8=2;a96a99c1-1ca6-49f4-90cd-befe5f276ee5=2
q9,파이썬으로 빅쿼리 데이터 분석하기,96b56a51-45fd-4811-9b57-a8e500f92f33=3;c1fec693-7d4c-4803-a9e4-714545c7d075=2;9ce86fad-9a4a-4016-bd2a-faab81f92c1d=1
q10,빅쿼리 데이터 캔버스에서 차트 어떻게 만들어요?,29a4afc1-d5e2-4be1-af25-67604fb1d93d=3;9cb413d8-1ef2-4535-b69a-ad30300bc830=2;5ac6bd23-4757-45d7-90b2-9da7debbfe14=1
q11,데이터 캔버스 메타데이터는 어디서 보죠?,344e325f-9b89-414f-b4f6-0a52c905c832=3;5eaff06b-2c90-4022-b876-62b6a8e73e49=2;1f323dc8-6954-4cbd-9371-d0b693351296=2
q12,막대 그래프 색깔 바꾸는 방법 뭐에요?,29a4afc1-d5e2-4be1-af25-67604fb1d93d=3;
q13,hdfs 파일 클라우드로 어떻게 옮겨?,4bc2664e-fd30-426d-a59b-5cabbd9fad76=3;e60a654d-429b-4073-9e12-054b90423c50=2;985f2aa0-8eae-40d9-b1e3-58d7c57fc00e=2
q14,bigquery에 데이터 로드하는 법,4537d9ef-71b3-44da-98f4-ee13098abdc5=3;9694dffd-5912-45d7-a05e-484ac3fe271a=2;53381e41-0e1c-4c3b-9d64-526b26cfbea3=2
q15,hdfs에서 gs로 파일 복사할 때 요금 발생해?,f619937a-0d9b-4db0-a86c-ef9874f42794=3;
q16,스테이징 디렉터리 삭제는 왜 필요한 거야?,750e2398-97f3-4ae5-9575-74161f4c5365=3;d500523e-e56b-4ab4-acc6-e5789591e139=2;c885f2c0-e4c1-4041-a6ac-b5ec287ab1fc=1
q17,People API gradle 추가법,0d925e82-79f4-4e31-b617-14a86bfad027=3;5fefdaf5-7649-4164-acb2-a813a4359524=2;0932b423-2f69-487e-bdf6-07c8b9fd941b=2
q18,google-api-services-people 버전 찾는 방법,0932b423-2f69-487e-bdf6-07c8b9fd941b=3;0d925e82-79f4-4e31-b617-14a86bfad027=2;5fefdaf5-7649-4164-acb2-a813a4359524=2
q19,빅쿼리 물리적 뷰 만들기 어떻게 해?,95ae507a-4553-4f05-9e04-a0db5395b388=3;ee78b90b-6e92-48f3-8362-bfb573a7cdef=2;1c7801ac-790e-4b4a-a705-abba9afda4cc=1
